0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
87,【冰激凌】凉冰冰甜丝丝的浆果蛋奶冰激淋，是夏天的味道,2355000,3627000,78000,10000,0,2,0,0,26,
88,兄弟家的竹鼠到了四川不适应，只能做成烤竹鼠了，别说味道很不错,2339000,3365000,84000,6150,1,0,0,0,30,
89,大sao下馆子，48元的铁锅牛肉焖面配腐竹汤，老板娘吃蒜厉害,2321000,2789000,52000,4226,0,0,1,0,30,['48元']
90,小伙一口气连吃3斤荔枝，竟检测出醉酒驾驶，看完你还敢吃荔枝吗,2308000,5009000,59000,3913,0,0,1,1,30,['3斤']
91,你吃过自助街吗！整条街随便点，随便坐，随便结账，就是开心！【深夜加餐饭04】,2299000,2157000,64000,19000,5,4,1,1,38,['04】']
92,大sao做两锅饺子，一斤红油卤肉配着吃，大蒜卤肉配饺子，真过瘾,2298000,2789000,50000,3947,1,0,0,0,31,
93,百万up主私下约见女网友，见面后竟直接去这种地方…？,2285000,2709000,81000,10000,0,1,0,1,26,
94,三个猪蹄一盆饭，大sao今天做了红焖猪蹄，大蒜开胃吃啥都过瘾,2264000,2789000,53000,5695,1,0,0,0,30,
95,媳妇做辣子鸡，两斤鸡腿做一盘，辣的自己都不敢吃，大sao过瘾了,2236000,2789000,126000,18000,1,0,0,0,31,
96,【翔翔大作战】小伙点好评最多的外卖，想看下到底有多好吃，结果吃到怀疑人生,2214000,23000,23000,1653,3,2,0,0,36,
97,大sao给孩子办入学，吃一顿好的，板面加大肉“八大块”真过瘾,2210000,2789000,56000,2865,1,0,0,0,30,
98,一锅炸酱面，配上大蒜，老婆这饭量都惊到大sao，一锅不够吃，过瘾,2198000,2789000,49000,6998,2,0,0,0,32,
99,100元在东北吃炸串，上来一大盘，嘎吱嘎吱脆得头皮都酥了！,2197000,2157000,45000,8074,0,1,1,0,29,['100元']
100,村里喝喜酒，599元一桌的喜宴，大sao全程一直吃，旁边大哥看呆了，真不浪费粮食,2195000,2789000,54000,2531,1,0,1,0,40,['599元']
101,自制火爆全网的“脆皮烤肉”，一口下去后，这也太脆了吧？,2190000,86000,26000,33000,2,1,0,1,27,
102,重庆之旅，和小翔哥，大sao，敬汉卿一起吃勾魂面！,2187000,1154000,43000,5551,0,1,0,0,25,
