0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
182,在俄罗斯不止熊没有尊严,1752000,1401.0,43000.0,14000.0,2,0,0,0,11,
183,无限接近死亡，才能体会生命的真谛系列（六_三）,1737000,2592.0,8518.0,3773.0,2,0,0,0,23,
184,乔碧萝殿下颜值巅峰时期比和她PK的晴子还好看，新晋斗鱼一姐，开播贵族过*10000，榜一注销了自己的斗鱼账号。,1721000,1816.0,6490.0,1199.0,1,1,1,0,55,['10000榜']
185,【喷饭③ 占领搞笑区】今日新闻联播，请笑……哈哈哈哈嗝,1718000,5836000.0,117000.0,24000.0,1,2,1,0,27,['③占领']
186,男朋友有压力时，你是如何帮他释放的？姑娘不愧是过来人,1714000,8037.0,5127.0,2147.0,1,1,0,1,26,
187,这才是年轻人该留的发型 帅,1713000,4004.0,19000.0,15000.0,0,0,0,0,13,
188,花 手 教 学,1707000,17000.0,30000.0,23000.0,0,0,0,0,7,
189,【爆笑】日本15岁美少女对你说最喜欢你了！嘉宾的反应真实了,1705000,8211.0,46000.0,31000.0,2,3,1,0,29,['15岁']
190,士兵：是不是玩不起？,1693000,14000.0,35000.0,18000.0,0,1,0,1,10,
191,香港大爷将暴徒打出车厢,1680000,5836000.0,74000.0,6614.0,2,0,0,0,11,
192,我不允许还有人不知道窝窝头和凉拌海蜇皮!!,1678000,469.0,24000.0,19000.0,1,2,0,0,21,
193,要是没有监控神探夏洛克也破不了案,1674000,26000.0,9255.0,2200.0,1,0,0,0,16,
194,哈哈哈！警察要来，非法示威者反起了内讧打作一团,1668000,5836000.0,54000.0,3571.0,3,1,0,0,23,
195,女生被卡到裆是一种什么样的体验？,1666000,416.0,13000.0,7458.0,0,1,0,1,16,
196,不要笑挑战，加油！秀儿！,1653000,5539.0,82000.0,23000.0,2,2,0,0,12,
197,真人居然可以演出动画的感觉，李大脑门的演技真是太棒了,1652000,833.0,71000.0,41000.0,1,0,0,0,26,
198,当你女朋友说想你了的时候。。。,1649000,4176.0,22000.0,5945.0,0,0,0,0,15,
199,giao哥上海演唱会,1623000,1002.0,19000.0,6120.0,0,0,0,0,10,
200,晚上点外卖 一个敢点 一个敢送,1619000,4005.0,43000.0,19000.0,0,0,0,0,15,
201,真人居然可以演出动画的感觉，李大脑门的演技真是太棒了,1652000,833.0,71000.0,41000.0,1,0,0,0,26,
202,当你女朋友说想你了的时候。。。,1649000,4176.0,22000.0,5945.0,0,0,0,0,15,
203,giao哥上海演唱会,1623000,1002.0,19000.0,6120.0,0,0,0,0,10,
204,晚上点外卖 一个敢点 一个敢送,1619000,4005.0,43000.0,19000.0,0,0,0,0,15,
205,交完辞职信的主持人就是这么嚣张,1614000,402.0,35000.0,20000.0,1,0,0,0,15,
206,男生终于扳回一局了，喝岩浆去吧，妹妹,1610000,5202.0,17000.0,6067.0,1,0,0,0,18,
207,月亮:咋滴？你还寻思着让我给你爆一个？,1606000,1401.0,56000.0,39000.0,0,2,0,1,19,
